0,15 -0,046
0,25 -0,033
0,35 -0,021
0,45 -0,007
0,55 0,004
0,65 0,017
0,75 0,028
0,85 0,038
0,95 0,048
1,05 0,057
1,15 0,065
1,25 0,073
1,35 0,078
1,45 0,084
1,55 0,088
1,65 0,092
1,75 0,095
1,85 0,098
1,95 0,101
2,05 0,104
